"report","report_sourcelink","tox_monograph","tox_monograph_sourcelink","specification","specification_sourcelink","synonyms","cas_number","functional_class","evaluation_year","chemical_names","jecfa_number","coe_number","fema_number","jecfa_name","url","fas"
"NMRS 38/TRS 309-JECFA 8/23","http://apps.who.int/iris/bitstream/10665/40627/1/WHO_TRS_309.pdf",NA,NA,"WITHDRAWN (1984)","http://www.fao.org/ag/agn/jecfa-additives/search.html","Fast Acid Magenta B; Fast Acid Fuchsine B; Naphtalene Red B; D and C Red No. 33; C.I. Food Red 12","3567-66-6","Food AdditivesCOLOUR","1964","Disodium salt of 5-amino-4-hydroxy-3-(phenylazo)-2,7-naphthalenedisulfonic acid",NA,NA,NA,"FAST ACID FUCHSINE B","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/11",NA
"NMRS 38/TRS 309-JECFA 8/23","http://apps.who.int/iris/bitstream/10665/40627/1/WHO_TRS_309.pdf",NA,NA,"WITHDRAWN (1984)","http://www.fao.org/ag/agn/jecfa-additives/search.html","Fast Acid Magenta B; Fast Acid Fuchsine B; Naphtalene Red B; D and C Red No. 33; C.I. Food Red 12","3567-66-6","Food AdditivesCOLOUR","1964","Disodium salt of 5-amino-4-hydroxy-3-(phenylazo)-2,7-naphthalenedisulfonic acid",NA,NA,NA,"FAST ACID MAGENTA B","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/12",NA
"TRS 896-JECFA 53/67","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/229","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 10/FNP 52 Add.10/42 (2002)","http://www.fao.org/ag/agn/jecfa-additives/search.html","ACHELLEIC ACID; 2-CARBOXY GLUTACONIC ACID; CITRIDIC ACID; EQUISETIC ACID; 1-PROPENE-1,2,3-TRICARBOXYLIC ACID; 1,2,3-PROPENETRICARBOXYLIC ACID",NA,"Flavouring AgentFLAVOURING_AGENT","1999","1,2,3-PROPENETRICARBOXYLIC ACID","627","33","2010","ACHELLEIC ACID","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/13","44"
"TRS 884-JECFA 49/42","http://apps.who.int/iris/bitstream/10665/42142/1/WHO_TRS_884.pdf","FAS 40-JECFA 49/231","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/138 (2000)","http://www.fao.org/ag/agn/jecfa-additives/search.html","PENTYL-alpha-PYRONE",NA,"Flavouring AgentFLAVOURING_AGENT","1997","2,4-DECADIEN-5-OLIDE; 6-PENTYL-2-PYRONE","245","10967","3696","PENTYL-alpha-PYRONE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/14","40"
"TRS 901-JECFA 55/44","http://apps.who.int/iris/bitstream/10665/42388/1/WHO_TRS_901.pdf","FAS 46-JECFA 55/165","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/172","http://www.fao.org/ag/agn/jecfa-additives/search.html","PHENOL ACETATE; ACETOXYBENZENE",NA,"Flavouring AgentFLAVOURING_AGENT","2000","PHENYL ACETATE","734","10878",NA,"ACETOXYBENZENE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/15","46"
"TRS 940-JECFA 67/53","http://apps.who.int/iris/bitstream/10665/43592/1/WHO_TRS_940_eng.pdf","67th_2007_1 3 dichloro 2 propanol.pdf","/food-additives-contaminants-jecfa-database/Document/Index/9009",NA,NA,NA,"96-23-1","Food ContaminantCONTAMINANT","2006",NA,NA,NA,NA,"1,3-DICHLORO-2-PROPANOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/16",""
"TRS 1051-JECFA 97/3","https://iris.who.int/bitstream/handle/10665/376462/9789240090026-eng.pdf?sequence=1","FAS 70.36/NMRS 46A-JECFA 13/55","http://www.inchem.org/documents/jecfa/jecmono/v46aje19.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/","C.I. Pigment white 6; Titania ","13463-67-7","Food AdditivesCOLOUR","2023","Titanium dioxide",NA,NA,NA,"CI PIGMENT WHITE 6","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/17","70.36"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 7/FNP 52 Add.7/110","http://www.fao.org/ag/agn/jecfa-additives/search.html","(METHYLTHIO)ETHANE; 1-(METHYLTHIO)ETHANE; 2-THIABUTANE; ETHYL METHYL SULFIDE; ETHYL METHYL THIOETHER",NA,"Flavouring AgentFLAVOURING_AGENT","1999","METHYL ETHYL SULFIDE","453","11474","3860","ETHYL METHYL SULFIDE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/18","44"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/150 (2000)","http://www.fao.org/ag/agn/jecfa-additives/search.html","ETHYL beta-(METHYLTHIO)ACETATE",NA,"Flavouring AgentFLAVOURING_AGENT","1999","ETHYL (METHYLTHIO)ACETATE","475",NA,"3835","ETHYL beta-(METHYLTHIO)ACETATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/19","44"
"TRS 617-JECFA 21/20","http://apps.who.int/iris/bitstream/10665/41293/1/WHO_TRS_617.pdf","FAS 12-JECFA 21/77","http://www.inchem.org/documents/jecfa/jecmono/v12je14.htm","WITHDRAWN (1984)","http://www.fao.org/ag/agn/jecfa-additives/search.html","Naphthol orange; Ext d and c orange no. 3; c.i. acid orange 20","523-44-4","Food AdditivesCOLOUR","1977","Sodium salt of p-[(4-hydroxy-1-naphthyl)azo]benzene sulfonic acid",NA,NA,NA,"ORANGE I","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/20","12"
"TRS 751-JECFA 30/18","http://apps.who.int/iris/bitstream/10665/41306/1/WHO_TRS_751.pdf","FAS 21-JECFA 30/55","http://www.inchem.org/documents/jecfa/jecmono/v21je05.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/","Vitamin E; RRR-Alpha-tocopherol; 5,7,8-Trimethyltocol; (+)-alpha-tocopherol",NA,"Food AdditivesANTIOXIDANTNUTRIENT_SUPPLEMENT","1986","(2R,4',R,8'R)-2,5,7,8-Tetramethyl-2-(4',8',12'-trimethyltridecyl)-chroman-6-ol",NA,NA,NA,"(+)-alpha-TOCOPHEROL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/21","21"
"TRS 751-JECFA 30/18","http://apps.who.int/iris/bitstream/10665/41306/1/WHO_TRS_751.pdf","FAS 21-JECFA 30/55","http://www.inchem.org/documents/jecfa/jecmono/v21je05.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/","Vitamin E; RRR-Alpha-tocopherol; 5,7,8-Trimethyltocol; (+)-alpha-tocopherol",NA,"Food AdditivesANTIOXIDANTNUTRIENT_SUPPLEMENT","1986","(2R,4',R,8'R)-2,5,7,8-Tetramethyl-2-(4',8',12'-trimethyltridecyl)-chroman-6-ol",NA,NA,NA,"d-alpha-TOCOPHEROL concentrate","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/22","21"
"TRS 617-JECFA 21/20","http://apps.who.int/iris/bitstream/10665/41293/1/WHO_TRS_617.pdf","FAS 12-JECFA 21/77","http://www.inchem.org/documents/jecfa/jecmono/v12je14.htm","WITHDRAWN (1984)","http://www.fao.org/ag/agn/jecfa-additives/search.html","Naphthol orange; Ext d and c orange no. 3; c.i. acid orange 20","523-44-4","Food AdditivesCOLOUR","1977","Sodium salt of p-[(4-hydroxy-1-naphthyl)azo]benzene sulfonic acid",NA,NA,NA,"EXT D AND C ORANGE No. 3","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/23","12"
"NMRS 38/TRS 309-JECFA 8/23","http://apps.who.int/iris/bitstream/10665/40627/1/WHO_TRS_309.pdf",NA,NA,"WITHDRAWN (1984)","http://www.fao.org/ag/agn/jecfa-additives/search.html","Ext D and C Yellow No. 7 (Sodium salt); Ext D and C Yellow No. 8 (Potassium salt); Acid Yellow; C.I. Food Yellow 1","846-70-8","Food AdditivesCOLOUR","1964","Sodium or potassium salt of 8-hydroxy-5,7-dinitro-2-naphthalenesulfonic acid",NA,NA,NA,"EXT D AND C YELLOW No. 7","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/24",NA
"NMRS 38/TRS 309-JECFA 8/23","http://apps.who.int/iris/bitstream/10665/40627/1/WHO_TRS_309.pdf",NA,NA,"WITHDRAWN (1984)","http://www.fao.org/ag/agn/jecfa-additives/search.html","Ext D and C Yellow No. 7 (Sodium salt); Ext D and C Yellow No. 8 (Potassium salt); Acid Yellow; C.I. Food Yellow 1","846-70-8","Food AdditivesCOLOUR","1964","Sodium or potassium salt of 8-hydroxy-5,7-dinitro-2-naphthalenesulfonic acid",NA,NA,NA,"EXT D AND C YELLOW No. 8","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/25",NA
"TRS 969/JECFA 75","http://apps.who.int/iris/bitstream/10665/44811/1/9789241209694_eng.pdf","FAS 31-JECFA 40/63 (1992)","http://www.inchem.org/pages/jecfa.html",NA,NA,"CGA89317; CGP23030; FASINEX®; FASCINEX®; SOFOREN®; ENDEX®; COMBINEX®; PARSIFAL®; FASIMEC®; GENESIS ™ ULTRA","68786-66-3","Veterinary DrugANTHELMINTHIC_AGENT","2012","5-CHLORO-6-(2,3-DICHLOROPHENOXY)-2-METHYLTHIO-1H-BENZIMIDAZOLE; 6-CHLORO-5-
(2,3-DICHLOROPHENOXY)-2-METHYLTHIO-BENZIMIDAZOLE",NA,NA,NA,"FASIMEC®","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/26","31"
"TRS 969/JECFA 75","http://apps.who.int/iris/bitstream/10665/44811/1/9789241209694_eng.pdf","FAS 31-JECFA 40/63 (1992)","http://www.inchem.org/pages/jecfa.html",NA,NA,"CGA89317; CGP23030; FASINEX®; FASCINEX®; SOFOREN®; ENDEX®; COMBINEX®; PARSIFAL®; FASIMEC®; GENESIS ™ ULTRA","68786-66-3","Veterinary DrugANTHELMINTHIC_AGENT","2012","5-CHLORO-6-(2,3-DICHLOROPHENOXY)-2-METHYLTHIO-1H-BENZIMIDAZOLE; 6-CHLORO-5-
(2,3-DICHLOROPHENOXY)-2-METHYLTHIO-BENZIMIDAZOLE",NA,NA,NA,"FASCINEX®","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/27","31"
"TRS 969/JECFA 75","http://apps.who.int/iris/bitstream/10665/44811/1/9789241209694_eng.pdf","FAS 31-JECFA 40/63 (1992)","http://www.inchem.org/pages/jecfa.html",NA,NA,"CGA89317; CGP23030; FASINEX®; FASCINEX®; SOFOREN®; ENDEX®; COMBINEX®; PARSIFAL®; FASIMEC®; GENESIS ™ ULTRA","68786-66-3","Veterinary DrugANTHELMINTHIC_AGENT","2012","5-CHLORO-6-(2,3-DICHLOROPHENOXY)-2-METHYLTHIO-1H-BENZIMIDAZOLE; 6-CHLORO-5-
(2,3-DICHLOROPHENOXY)-2-METHYLTHIO-BENZIMIDAZOLE",NA,NA,NA,"FASINEX®","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/28","31"
"TRS 922-JECFA 61/111","http://apps.who.int/iris/bitstream/10665/42849/1/WHO_TRS_922.pdf","FAS 52-JECFA 61/419","http://apps.who.int/iris/bitstream/10665/43038/1/924166052X.pdf","COMPENDIUM ADDENDUM 11/FNP 52 Add. 11/121","http://www.fao.org/ag/agn/jecfa-additives/search.html","beta-(METHYLTHIO)ETHANOL; beta-HYDROXYETHYL METHYL SULFIDE; beta-METHYLMERCAPTOETHANOL; 2-HYDROXYETHYL METHYL SULFIDE; 2-METHANESULFANYLETHANOL; 2-METHYLMERCAPTOETHANOL; HYDROXYETHYL METHYL SULFIDE",NA,"Flavouring AgentFLAVOURING_AGENT","2003","2-(METHYLTHIO)ETHANOL","1297",NA,"4004","2-HYDROXYETHYL METHYL SULFIDE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/29","52"
"TRS 909-JECFA 57/84","http://apps.who.int/iris/bitstream/10665/42578/1/WHO_TRS_909.pdf","FAS 48-JECFA 57/273","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 9/FNP 52 Add.9/144","http://www.fao.org/ag/agn/jecfa-additives/search.html","p-METHOXYBENZYL PROPIONATE; ANISYL PROPANOATE",NA,"Flavouring AgentFLAVOURING_AGENT","2001","4-METHOXYBENZYL PROPANOATE","874","426","2102","ANISYL PROPANOATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/30","48"
"TRS 909-JECFA 57/84","http://apps.who.int/iris/bitstream/10665/42578/1/WHO_TRS_909.pdf","FAS 48-JECFA 57/273","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 9/FNP 52 Add.9/144","http://www.fao.org/ag/agn/jecfa-additives/search.html","ANISYL alpha-TOLUENE; p-METHOXYBENZYL PHENYLACETATE",NA,"Flavouring AgentFLAVOURING_AGENT","2001","4-METHOXYBENZYL PHENYLACETATE","876","233","3740","ANISYL alpha-TOLUENE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/31","48"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/152 (2000)","http://www.fao.org/ag/agn/jecfa-additives/search.html","METHANETHIOL; MERCAPTOMETHANE; METHYL SULFHYDRATE; THIOMETHYL ALCOHOL",NA,"Flavouring AgentFLAVOURING_AGENT","1999","METHANETHIOL","508","475","2716","THIOMETHYL ALCOHOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/32","44"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 9/FNP 52 Add.9/120 (2001)","http://www.fao.org/ag/agn/jecfa-additives/search.html","2-MERCAPTONAPHTHALENE; 2-NAPHTHYL MERCAPTAN; 2-THIONAPTHOL",NA,"Flavouring AgentFLAVOURING_AGENT","1999","2-NAPHTHALENETHIOL","531","2330","3314","2-THIONAPHTHOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/33","44"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/150 (2000)","http://www.fao.org/ag/agn/jecfa-additives/search.html","TETRAHYDROTHIOPHENE-3-ONE; 3-THIOPHANE",NA,"Flavouring AgentFLAVOURING_AGENT","1999","4,5-DIHYDRO-3(2H)-THIOPHENONE","498","2337","3266","3-THIOPHANE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/34","44"
"TRS 911-JECFA 58/35","http://apps.who.int/iris/bitstream/10665/42560/1/WHO_TRS_911.pdf","FAS 43-JECFA 52/7 (1999)","http://www.inchem.org/documents/jecfa/jecmono/v43jec03.htm",NA,NA,"DEXTROSULPHENIDOL; THIOPHENICOL","15318-45-3","Veterinary DrugANTIMICROBIAL_AGENT","2002","D-d-THREO-2-DICHLOROACETAMIDO-1-(4-METHYLSULFONYLPHENYL)-1,3-PROPANEDIOL; 
D(+)-THREO-1-(4'-METHYLSULPHONYLPHENYL)-2-DICHLOROACETAMIDE PROPANE-1,3-DIOL;
D-THREO-2,2-DICHLORO-N-beta-HYDROXY-a-(HYDROXYMETHYL)-p-(METHYLSULPHONYL)-
PHENYL ACETAMIDE",NA,NA,NA,"THIOPHENICOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/35","43"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 7/FNP 52 Add.7/118","http://www.fao.org/ag/agn/jecfa-additives/search.html","THIOPHENOL; PHENYL MERCAPTAN",NA,"Flavouring AgentFLAVOURING_AGENT","1999","BENZENETHIOL","525","11585","3616","THIOPHENOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/36","44"
