"report","report_sourcelink","tox_monograph","tox_monograph_sourcelink","specification","specification_sourcelink","synonyms","cas_number","functional_class","evaluation_year","chemical_names","jecfa_number","coe_number","fema_number","jecfa_name","url","fas"
"TRS 868-JECFA 46/28","http://apps.who.int/iris/bitstream/10665/41962/1/WHO_TRS_868.pdf",NA,NA,"COMPENDIUM ADDENDUM 4/FNP 52 Add.4/171","http://www.fao.org/ag/agn/jecfa-additives/search.html","ALLYL 2-ETHYLBUTANOATE","7493-69-8","Flavouring AgentFLAVOURING_AGENT","1996","2-PROPENYL 2-ETHYLBUTYRATE","11","281","2029","ALLYL 2-ETHYLBUTYRATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/224",NA
"TRS 913-JECFA 59/102","http://apps.who.int/iris/bitstream/10665/42601/1/WHO_TRS_913.pdf","FAS 50-JECFA 59/371","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 10/FNP 52 Add.10/76","http://www.fao.org/ag/agn/jecfa-additives/search.html","3-NONANOL ACETATE; NON-3-YL ACETATE",NA,"Flavouring AgentFLAVOURING_AGENT","2002","1-ETHYLHEPTYL ACETATE","1145",NA,"4007","NON-3-YL ACETATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/225","50"
"TRS 952-JECFA 69","http://apps.who.int/iris/bitstream/10665/44062/1/WHO_TRS_952_eng.pdf","FAS 50-JECFA 59/173","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 10/FNP 52 Add.10/52","http://www.fao.org/ag/agn/jecfa-additives/search.html","HOMOMYRTENOL; 2-HYDROXYETHYL-6,6-DIMETHYL-BICYCLO[3,1,1]-HEPT-2-ENE; NOPOL; 2-NORPINENE-2-ETHANOL, 6,6-DIMETHYL-",NA,"Flavouring AgentFLAVOURING_AGENT","2008","6,6-DIMETHYL-BICYCLO[3.1.1]HEPT-2-ENE-2-ETHANOL","986",NA,"3938","NOPOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/226","50"
"TRS 952-JECFA 69","http://apps.who.int/iris/bitstream/10665/44062/1/WHO_TRS_952_eng.pdf","FAS 50-JECFA 59/173","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 10/FNP 52 Add.10/52","http://www.fao.org/ag/agn/jecfa-additives/search.html","HOMOMYRTENOL; 2-HYDROXYETHYL-6,6-DIMETHYL-BICYCLO[3,1,1]-HEPT-2-ENE; NOPOL; 2-NORPINENE-2-ETHANOL, 6,6-DIMETHYL-",NA,"Flavouring AgentFLAVOURING_AGENT","2008","6,6-DIMETHYL-BICYCLO[3.1.1]HEPT-2-ENE-2-ETHANOL","986",NA,"3938","2-NORPINENE-2-ETHANOL, 6,6-DIMETHYL-","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/227","50"
"TRS 669-JECFA 25/20","http://apps.who.int/iris/bitstream/10665/41524/1/WHO_TRS_669.pdf","FAS 16-JECFA 25/169","http://www.inchem.org/documents/jecfa/jecmono/v16je20.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/ ","Azogeranine; C.I. Food Red 10","3734-67-6","Food AdditivesCOLOUR","2018","Disodium 8-acetamido-1-hydroxy-2-phenylazo-3,6-naphthalenedisulfonate",NA,NA,NA,"RED 2G","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/228","16"
"TRS 909-JECFA 57/51","http://apps.who.int/iris/bitstream/10665/42578/1/WHO_TRS_909.pdf","FAS 48-JECFA 57/135","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 9/FNP 52 Add.9/128","http://www.fao.org/ag/agn/jecfa-additives/search.html","2-ETHYL-6-METHYL-1,4-DIAZINE",NA,"Flavouring AgentFLAVOURING_AGENT","2001","2-ETHYL-6-METHYLPYRAZINE","769","11331","3919","2-ETHYL-6-METHYLPYRAZINE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/229","48"
"TRS 922-JECFA 61/86","http://apps.who.int/iris/bitstream/10665/42849/1/WHO_TRS_922.pdf","FAS 52-JECFA 61/335","http://apps.who.int/iris/bitstream/10665/43038/1/924166052X.pdf","COMPENDIUM ADDENDUM 11/FNP 52 Add. 11/115","http://www.fao.org/ag/agn/jecfa-additives/search.html","DIHYDROANETHOLE; METHYL p-PROPYLPHENYL ETHER; 4-PROMETHOXYBENZENE","104-45-0","Flavouring AgentFLAVOURING_AGENT","2003","1-METHOXY-4-PROPYLBENZENE","1244","11835","2930","METHYL p-PROPYLPHENYL ETHER","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/230","52"
"NMRS 54/TRS 557-JECFA 18/20","http://apps.who.int/iris/bitstream/10665/41117/1/WHO_TRS_557.pdf","FAS 6/NMRS 54A-JECFA 18/133,137","http://www.inchem.org/documents/jecfa/jecmono/v06je34.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/","Previously listed as RENNET from MUCOR species (MUCOR MIEHEI or M. PUSILLUS)",NA,"Food AdditivesENZYME_PREPARATION","1974","Microbial aspartic proteinaseE (Acid protease EC 3.4.23.23)",NA,NA,NA,"RENNET FROM MUCOR SPECIES","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/231","6"
"TRS 891-JECFA 51/79","http://apps.who.int/iris/bitstream/10665/42245/1/WHO_TRS_891.pdf","FAS 42-JECFA 51/293","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/144 (2000)","http://www.fao.org/ag/agn/jecfa-additives/search.html","TERPINYL 2-METHYLPROPIONATE",NA,"Flavouring AgentFLAVOURING_AGENT","1998","p-MENTH-1-EN-8-YL ISOBUTYRATE","371","300","3050","TERPINYL 2-METHYLPROPIONATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/232","42"
"TRS 901-JECFA 55/22","http://apps.who.int/iris/bitstream/10665/42388/1/WHO_TRS_901.pdf","FAS 46-JECFA 55/79","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 11/FNP 52 Add.11/103 (2003)","http://www.fao.org/ag/agn/jecfa-additives/search.html","p-MENTHEN-1-EN-8-YL CINNAMATE; TERPINYL beta-PHENYLACRYLATE; TERPINYL 3-PHENYLPROPENOATE",NA,"Flavouring AgentFLAVOURING_AGENT","2000","(Z)-1-METHYL-1-(4-METHYL-3-CYCLOHEXEN-1-YL)ETHYL CINNAMATE","669","330","3051","TERPINYL beta-PHENYLACRYLATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/233","46"
"TRS 901-JECFA 55/22","http://apps.who.int/iris/bitstream/10665/42388/1/WHO_TRS_901.pdf","FAS 46-JECFA 55/79","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 11/FNP 52 Add.11/103 (2003)","http://www.fao.org/ag/agn/jecfa-additives/search.html","p-MENTHEN-1-EN-8-YL CINNAMATE; TERPINYL beta-PHENYLACRYLATE; TERPINYL 3-PHENYLPROPENOATE",NA,"Flavouring AgentFLAVOURING_AGENT","2000","(Z)-1-METHYL-1-(4-METHYL-3-CYCLOHEXEN-1-YL)ETHYL CINNAMATE","669","330","3051","TERPINYL 3-PHENYLPROPENOATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/234","46"
"TRS 940-JECFA 67/11","http://apps.who.int/iris/bitstream/10665/43592/1/WHO_TRS_940_eng.pdf","FAS 58-JECFA 67","http://apps.who.int/iris/bitstream/10665/43645/1/9789241660587_eng.pdf",NA,NA,"Rocou; Orlean; Terre Orellana; L. Orange","1393-63-1","Food AdditivesCOLOUR","2006","Bixin: 9'-cis(or trans)-6,6'-diapocarotene-6,6'-dioic acid, Monomethyl ester;
Norbixin: 6'-Methylhydrogen-9'-cis(or trans)-6,6'-diapocarotene-6,6'-dioate, Na or K
",NA,NA,NA,"TERRE ORELLANA","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/235","58"
"TRS 884-JECFA 49/11","http://apps.who.int/iris/bitstream/10665/42142/1/WHO_TRS_884.pdf","FAS 40-JECFA 49/3","http://www.inchem.org/documents/jecfa/jecmono/v040je02.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/ ","TBHQ","1948-33-0","Food AdditivesANTIOXIDANT","1997","tert-Butylhydroquinone; Mono-Tert-Butylhydroquinone; t-Butylhydroquinone; 2-(1,1-Dimethylethyl)-1,4-benzenediol",NA,NA,NA,"TERTIARY BUTYLHYDROQUINONE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/236","40"
"TRS 891-JECFA 51/59","http://apps.who.int/iris/bitstream/10665/42245/1/WHO_TRS_891.pdf","FAS 42-JECFA 51/235","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 6/FNP 52 Add.6/176","http://www.fao.org/ag/agn/jecfa-additives/search.html","METHYL PROPYL KETONE",NA,"Flavouring AgentFLAVOURING_AGENT","1998","PENTAN-2-ONE","279","754","2842","METHYL PROPYL KETONE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/237","42"
"TRS 901-JECFA 55/22","http://apps.who.int/iris/bitstream/10665/42388/1/WHO_TRS_901.pdf","FAS 46-JECFA 55/79","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/160","http://www.fao.org/ag/agn/jecfa-additives/search.html","HYDROCINNAMYL ACETATE; beta-PHENYLPROPYL ACETATE",NA,"Flavouring AgentFLAVOURING_AGENT","2000","BENZENEPROPANOL ACETATE","638","222","2890","3-PHENYLPROPYL ACETATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/238","46"
"TRS 901-JECFA 55/22","http://apps.who.int/iris/bitstream/10665/42388/1/WHO_TRS_901.pdf","FAS 46-JECFA 55/79","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/160","http://www.fao.org/ag/agn/jecfa-additives/search.html","HYDROCINNAMYL FORMATE; beta-PHENYLPROPYL FORMATE",NA,"Flavouring AgentFLAVOURING_AGENT","2000","BENZENEPROPANOL FORMATE","637","351","2895","3-PHENYLPROPYL FORMATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/239","46"
"TRS 901-JECFA 55/44","http://apps.who.int/iris/bitstream/10665/42388/1/WHO_TRS_901.pdf","FAS 46-JECFA 55/165","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/170","http://www.fao.org/ag/agn/jecfa-additives/search.html","CREOSOL; HOMOCATECHOL MONOETHYL ETHER; 1-HYDROXY-2-METHOXY-4-METHYLBENZENE; 2-METHOXY-p-CRESOL; 4-METHYLGUAIACOL; VALSPICE",NA,"Flavouring AgentFLAVOURING_AGENT","2000","2-METHOXY-p-CRESOL","715","175","2671","HOMOCATECHOL MONOETHYL ETHER","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/240","46"
"TRS 909-JECFA 57/61","http://apps.who.int/iris/bitstream/10665/42578/1/WHO_TRS_909.pdf","FAS 48-JECFA 57/117","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 9/FNP 52 Add.9/136","http://www.fao.org/ag/agn/jecfa-additives/search.html","METHYL STYRYL CARBINOL; HOMOCINNAMYL ALCOHOL",NA,"Flavouring AgentFLAVOURING_AGENT","2001","4-PHENYL-3-BUTEN-2-OL","819","2032","2880","HOMOCINNAMYL ALCOHOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/241","48"
"TRS 901-JECFA 55/44","http://apps.who.int/iris/bitstream/10665/42388/1/WHO_TRS_901.pdf","FAS 46-JECFA 55/165","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 8/FNP 52 Add.8/170","http://www.fao.org/ag/agn/jecfa-additives/search.html","HOMOCREOSOL; 1-HYDROXY-2-METHOXY-4-ETHYLBENZENE",NA,"Flavouring AgentFLAVOURING_AGENT","2000","4-ETHYLGUAIACOL","716","176","2436","HOMOCREOSOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/242","46"
"TRS 909-JECFA 57/61","http://apps.who.int/iris/bitstream/10665/42578/1/WHO_TRS_909.pdf","FAS 48-JECFA 57/117","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 9/FNP 52 Add.9/138","http://www.fao.org/ag/agn/jecfa-additives/search.html","alpha,alpha-DIMETHYL-ANISALACETONE; ISOPROPYL p-METHOXYSTYRYL KETONE; HOMOETHONE",NA,"Flavouring AgentFLAVOURING_AGENT","2001","1-(4-METHOXYPHENYL)-4-METHYL-1-PENTEN-3-ONE","829","719","3760","HOMOETHONE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/243","48"
"TRS 918-JECFA 60/16","http://apps.who.int/iris/bitstream/10665/42712/1/WHO_TRS_918.pdf","FAS 41-JECFA 50/93 (1998)","http://www.inchem.org/documents/jecfa/jecmono/v041je09.htm",NA,NA,"IMIDOCARB DIPROPIONATE; IMIZOL; 4A65; BW4A65; HR-2073; IMDP",NA,"Veterinary DrugANTIPROTOZOAL_AGENT","2003","N,N'-bis[3-(4,5-DIHYDRO-1H-IMIDAZOL-2-YL)PHENYLUREA DIPROPIONATE",NA,NA,NA,"HR-2073","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/244","41"
"TRS 648-JECFA 23/31","http://apps.who.int/iris/bitstream/10665/41403/1/WHO_TRS_648.pdf","FAS 67.29/NMRS 40A,B,C-JECFA 9/153 (1965)","/food-additives-contaminants-jecfa-database/Document/Index/2882","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/","Hydrated basic magnesium carbonate; Magnesium carbonate hydroxide; Magnesium subcarbonate (light or heavy)","39409-82-0","Food AdditivesACIDITY_REGULATORANTICAKING_AGENTCARRIERCARRIER_SOLVENTCOLOUR_RETENTION_AGENT","1979","Magnesium carbonate hydroxide hydrated",NA,NA,NA,"HYDRATED BASIC MAGNESIUM CARBONATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/245","67.29"
"TRS 683-JECFA 26/18; see also TRS 891-JECFA 51/2 (1998)","http://apps.who.int/iris/bitstream/10665/41546/1/WHO_TRS_683.pdf","FAS 17-JECFA 26/218","http://www.inchem.org/documents/jecfa/jecmono/v17je27.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/ ","Sorbitan laurate
","1338-39-2","Food AdditivesEMULSIFIERSTABILIZER","1982","Mixture of the partial esters of sorbitol and its mono- and dianhydrides with edible lauric acid",NA,NA,NA,"SORBITAN MONOLAURATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/246","17"
"TRS 683-JECFA 26/25","http://apps.who.int/iris/bitstream/10665/41546/1/WHO_TRS_683.pdf","FAS 17-JECFA 26/151","http://www.inchem.org/documents/jecfa/jecmono/v17je22.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/","Tetrapotassium diphosphate; Potassium pyrophosphate","7320-34-5","Food AdditivesEMULSIFIERTEXTURIZERTHICKENER","1982","Tetrapotassium diphosphate; Tetrapotassium pyrophosphate",NA,NA,NA,"TETRAPOTASSIUM DIPHOSPHATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/247","17"
"TRS 913-JECFA 59/102, 111","http://apps.who.int/iris/bitstream/10665/42601/1/WHO_TRS_913.pdf","FAS 50-JECFA 59/371","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 10/FNP 52 Add.10/76","http://www.fao.org/ag/agn/jecfa-additives/search.html","trans-7-METHYL-3-OCTEN-2-ONE",NA,"Flavouring AgentFLAVOURING_AGENT","2002","(E)-7-METHYLOCT-3-EN-2-ONE","1135",NA,"3868","(E)-7-METHYL-3-OCTEN-2-ONE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/248","50"
"TRS 909-JECFA 57/84","http://apps.who.int/iris/bitstream/10665/42578/1/WHO_TRS_909.pdf","FAS 48-JECFA 57/273","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 9/FNP 52 Add.9/144","http://www.fao.org/ag/agn/jecfa-additives/search.html","ANISIC ACID; p-ANISIC ACID; p-METHOXYBENZOIC ACID; DRACONIC ACID",NA,"Flavouring AgentFLAVOURING_AGENT","2001","4-METHOXYBENZOIC ACID","883","10077","3945","4-METHOXYBENZOIC ACID","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/249","48"
"TRS 947-JECFA68/","http://apps.who.int/iris/bitstream/10665/43870/1/9789241209472_eng.pdf","FAS 59-JECFA68/","http://apps.who.int/iris/bitstream/10665/43823/1/9789241660594_eng.pdf","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/ ","Ferric sodium edetate; Sodium iron EDTA; Sodium feredetate","15708-41-5","Food AdditivesNUTRIENT_SUPPLEMENT","2007","Sodium [[N,N'-ethanediylbis[N-(carboxymethyl)glycinato]](4-]ferrate(1-); Sodium iron (III) ethylenediaminetetraacetate",NA,NA,NA,"SODIUM IRON EDTA","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/250","59"
"FNS 1/TRS 599-JECFA 20/12","http://apps.who.int/iris/bitstream/10665/41217/1/WHO_TRS_599.pdf","FAS 8/NMRS 55A-JECFA 19/47 (1975,MICROCRYSTALLINE CELLULOSE)","http://www.inchem.org/documents/jecfa/jecmono/v08je08.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/ ",NA,"9004-34-6","Food AdditivesANTICAKING_AGENTEMULSIFIERTEXTURIZERTHICKENER","1976","Cellulose; Linear polymer of 1:4 linked glucose residues",NA,NA,NA,"POWDERED CELLULOSE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/251","8"
"TRS 751-JECFA 30/20","http://apps.who.int/iris/bitstream/10665/41306/1/WHO_TRS_751.pdf","FAS 17-JECFA 26/255 (1982)","http://www.inchem.org/documents/jecfa/jecmono/v17je30.htm","WITHDRAWN (1997)","http://www.fao.org/ag/agn/jecfa-additives/search.html","TEMO E-LAMAG; POWDERED TURMERIC; INDIAN SAFFRON; SAFRAN DES INDES; CURCUMA","8024-37-1 (TURMERIC OLEORESIN)","Flavouring AgentFLAVOURING_AGENTFood AdditivesCOLOUR","1986","1. 1,7-Bis(4-HYDROXY-3-METHOXYPHENYL)HEPTA-1,6-DIENE-3,5-DIONE;  2. 1-(4-HYDROXY-PHENYL)-7-(4-HYDROXY-3-METHOXYPHENYL)-HEPTA-1,6-DIENE-3,5-DIONE;  3. 1,7-Bis(4-HYDROXYPHENYL)HEPTA-1,6-DIENE-3,5-DIONE",NA,NA,NA,"POWDERED TURMERIC","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/252","17"
"TRS 922-JECFA 61/96","http://apps.who.int/iris/bitstream/10665/42849/1/WHO_TRS_922.pdf","FAS 52-JECFA 61/389","http://apps.who.int/iris/bitstream/10665/43038/1/924166052X.pdf","COMPENDIUM ADDENDUM 12/FNP 52 Add. 12/72 (2004)","http://www.fao.org/ag/agn/jecfa-additives/search.html","4-PROPENYLGUAIACYL PHENYLACETATE; 2-METHOXY-4-(1-PROPEN-1-YL)PHENYL PHENYLACETATE",NA,"Flavouring AgentFLAVOURING_AGENT","2003","2-METHOXY-4-PROPENYLPHENYL PHENYLACETATE","1263","237","2477","4-PROPENYLGUAIACYL PHENYLACETATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/253","52"
"TRS 928-JECFA 63/86","http://apps.who.int/iris/bitstream/10665/43141/1/WHO_TRS_928.pdf","FAS 54-JECFA 63/385","http://apps.who.int/iris/bitstream/10665/43265/1/9241660546_eng.pdf","COMPENDIUM ADDENDUM 12/FNP 52 Add. 12/84","http://www.fao.org/ag/agn/jecfa-additives/search.html","ISOBORNEOL ACETATE; EXO-2-BORNYL ACETATE; ISOBORNYL ETHANOATE",NA,"Flavouring AgentFLAVOURING_AGENT","2004","1,7,7-TRIMETHYLBICYCLO[2.2.1]HEPT-2-YL ACETATE","1388","2166","2160","ISOBORNYL ACETATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/254","54"
"TRS 928-JECFA 63/86","http://apps.who.int/iris/bitstream/10665/43141/1/WHO_TRS_928.pdf","FAS 54-JECFA 63/385","http://apps.who.int/iris/bitstream/10665/43265/1/9241660546_eng.pdf","COMPENDIUM ADDENDUM 12/FNP 52 Add. 12/84","http://www.fao.org/ag/agn/jecfa-additives/search.html","ISOBORNEOL ACETATE; EXO-2-BORNYL ACETATE; ISOBORNYL ETHANOATE",NA,"Flavouring AgentFLAVOURING_AGENT","2004","1,7,7-TRIMETHYLBICYCLO[2.2.1]HEPT-2-YL ACETATE","1388","2166","2160","EXO-2-BORNYL ACETATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/255","54"
"TRS 928-JECFA 63/86","http://apps.who.int/iris/bitstream/10665/43141/1/WHO_TRS_928.pdf","FAS 54-JECFA 63/385","http://apps.who.int/iris/bitstream/10665/43265/1/9241660546_eng.pdf","COMPENDIUM ADDENDUM 12/FNP 52 Add. 12/84","http://www.fao.org/ag/agn/jecfa-additives/search.html","ISOBORNEOL ACETATE; EXO-2-BORNYL ACETATE; ISOBORNYL ETHANOATE",NA,"Flavouring AgentFLAVOURING_AGENT","2004","1,7,7-TRIMETHYLBICYCLO[2.2.1]HEPT-2-YL ACETATE","1388","2166","2160","ISOBORNYL ETHANOATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/256","54"
"TRS 928-JECFA 63/86","http://apps.who.int/iris/bitstream/10665/43141/1/WHO_TRS_928.pdf","FAS 54-JECFA 63/385","http://apps.who.int/iris/bitstream/10665/43265/1/9241660546_eng.pdf","COMPENDIUM ADDENDUM 12/FNP 52 Add. 12/84","http://www.fao.org/ag/agn/jecfa-additives/search.html","BORNYL METHANOATE; 2-CAMPHANYL FORMATE; ENDO-2-BORNYL FORMATE; BORNEOL FORMATE",NA,"Flavouring AgentFLAVOURING_AGENT","2004","1,7,7-TRIMETHYLBICYCLO[2.2.1]HEPT-2-YL FORMATE","1389","349","2161","BORNYL FORMATE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/257","54"
""">RS 952-JECFA 69/149","http://apps.who.int/iris/bitstream/10665/44062/1/WHO_TRS_952_eng.pdf#page=162",""">FAS 60-JECFA 69/628","http://apps.who.int/iris/bitstream/10665/44063/1/9789241660600_eng.pdf#page=635",""">FAO JECFA Monographs 5/135","ftp://ftp.fao.org/docrep/fao/011/i0345e/i0345e.pdf#page=133","2-METHYL-n-BUTANOL; 2-METHYLBUTYL ALCOHOL; ACTIVE AMYL ALCOHOL; ACTIVE PRIMARY AMYL ALCOHOL; sec-BUTYLCARBINOL",NA,"Flavouring AgentFLAVOURING_AGENT","2008","2-METHYLBUTANOL","1199",NA,"3998","ACTIVE PRIMARY AMYL ALCOHOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/258",""
""">RS 952-JECFA 69/149","http://apps.who.int/iris/bitstream/10665/44062/1/WHO_TRS_952_eng.pdf#page=162",""">FAS 60-JECFA 69/628","http://apps.who.int/iris/bitstream/10665/44063/1/9789241660600_eng.pdf#page=635",""">FAO JECFA Monographs 5/135","ftp://ftp.fao.org/docrep/fao/011/i0345e/i0345e.pdf#page=133","2-METHYL-n-BUTANOL; 2-METHYLBUTYL ALCOHOL; ACTIVE AMYL ALCOHOL; ACTIVE PRIMARY AMYL ALCOHOL; sec-BUTYLCARBINOL",NA,"Flavouring AgentFLAVOURING_AGENT","2008","2-METHYLBUTANOL","1199",NA,"3998","sec-BUTYLCARBINOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/259",""
"TRS 1020-JECFA 87/75","https://www.who.int/publications/i/item/9789241210294 ","FAS 50-JECFA 59/173","http://www.inchem.org/pages/jecfa.html","Compendium of FAO food additive specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/en/","CAMPHOLENIC ALDEHYDE; (R)-2,2,3-TRIMETHYLCYCLOPENT-3-ENE-1-ACETALDEHYDE",NA,"Flavouring AgentFLAVOURING_AGENT","2019","2,2,3-TRIMETHYLCYCLOPENT-3-EN-1-YL ACETALDEHYDE","967","10325","3592","(R)-2,2,3-TRIMETHYLCYCLOPENT-3-ENE-1-ACETALDEHYDE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/260","50"
"TRS 913-JECFA 59/41","http://apps.who.int/iris/bitstream/10665/42601/1/WHO_TRS_913.pdf","FAS 50-JECFA 59/173","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 10/FNP 52 Add.10/50","http://www.fao.org/ag/agn/jecfa-additives/search.html","alpha-CAMPHOLENOL; 2-(2,2,3-TRIMETHYL-3-CYCLOPENTENE)-1-ETHANOL",NA,"Flavouring AgentFLAVOURING_AGENT","2002","2-(2,2,3-TRIMETHYLCYCLOPENT-3-ENYL)ETHANOL","970",NA,"3741","2-(2,2,3-TRIMETHYL-3-CYCLOPENTENE)-1-ETHANOL","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/261","50"
"NMRS 53/TRS 539-JECFA 17/19","http://apps.who.int/iris/bitstream/10665/41072/1/WHO_TRS_539.pdf","FAS 5/NMRS 53A-JECFA 17/205","http://www.inchem.org/documents/jecfa/jecmono/v05je32.htm","FAO Combined Compendium of Food Additive Specifications","https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-additives/en/ ",NA,"111-17-1","Food AdditivesANTIOXIDANT","1973","3,3'-Thiodipropionic acid; beta,beta'-Thiodipropionic acid; Thiodihydracrylic acid; Diethyl sulfide 2,2'-dicarboxylic acid",NA,NA,NA,"THIODIPROPIONIC ACID","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/262","5"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 7/FNP 52 Add.7/110","http://www.fao.org/ag/agn/jecfa-additives/search.html","ETHYL SULFIDE; DIETHYLTHIOETHER;",NA,"Flavouring AgentFLAVOURING_AGENT","1999","DIETHYL SULFIDE","454","11450","3825","THIOETHYL ETHER","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/263","44"
"TRS 896-JECFA 53/32","http://apps.who.int/iris/bitstream/10665/42378/1/WHO_TRS_896.pdf","FAS 44-JECFA 53/125","http://www.inchem.org/pages/jecfa.html","COMPENDIUM ADDENDUM 7/FNP 52 Add.7/124","http://www.fao.org/ag/agn/jecfa-additives/search.html","BENZYLDITHIOMETHANE; METHYL BENZYL DISULFIDE; METHYL PHENYLMETHYL DISULFIDE",NA,"Flavouring AgentFLAVOURING_AGENT","1999","BENZYL METHYL DISULFIDE","577","11508","3504","METHYL BENZYL DISULFIDE","https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/264","44"
